channel,model_name,gateway_model_id,operation,endpoint_type,profile_key,profile_version,contract_version,contract_hash,audit_status,input_fields,material_slots,request_adapter,dispatch_path,poll_path,pricing_basis,source_urls,difference_summary
"deepwl","deepwl/MiniMax-M2.5","MiniMax-M2.5","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/MiniMax-M3","MiniMax-M3","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/chat_fast_imagine","chat_fast_imagine","image.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/chat_relax_imagine","chat_relax_imagine","image.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-fable-5","claude-fable-5","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-haiku-4-5-20251001","claude-haiku-4-5-20251001","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-haiku-4-5-20251016","claude-haiku-4-5-20251016","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-opus-4-5-20251101","claude-opus-4-5-20251101","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-opus-4-6","claude-opus-4-6","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-opus-4-6-thinking","claude-opus-4-6-thinking","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-opus-4-7","claude-opus-4-7","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-opus-4-8","claude-opus-4-8","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-opus-5","claude-opus-5","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-sonnet-4-20250514","claude-sonnet-4-20250514","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-sonnet-4-5-20250929","claude-sonnet-4-5-20250929","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-sonnet-4-6","claude-sonnet-4-6","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/claude-sonnet-5","claude-sonnet-5","text.chat","anthropic|openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/deepseek-v4-flash","deepseek-v4-flash","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/deepseek-v4-pro","deepseek-v4-pro","text.chat","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedance-1-5-pro_1080p","doubao-seedance-1-5-pro_1080p","video.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedance-1-5-pro_480p","doubao-seedance-1-5-pro_480p","video.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedance-1-5-pro_720p","doubao-seedance-1-5-pro_720p","video.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedance-2-0-260128","doubao-seedance-2-0-260128","video.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedance-2-0-fast-260128","doubao-seedance-2-0-fast-260128","video.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedance-2-0-mini","doubao-seedance-2-0-mini","video.generate","openai","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedream-4-0-250828","doubao-seedream-4-0-250828","image.generate","image-generation","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
"deepwl","deepwl/doubao-seedream-4-5-251128","doubao-seedream-4-5-251128","image.generate","image-generation","","0","0","","missing_documentation","","","","","","","https://doc.deepwl.cn/llms.txt | https://zx1.deepwl.net/pricing | https://zx1.deepwl.net/api/pricing","当前输入/输出参数合同未随公开价格接口提供；当前 CarLab 已发布 DeepWL 命名空间仅记录为 67 个，匿名价格目录无法逐项映射发布身份；没有具体模型 API 详情页证据时，不在 TapLater 展示或自动发布参数"
