channel,model_name,gateway_model_id,operation,endpoint_type,profile_key,profile_version,contract_version,contract_hash,audit_status,input_fields,material_slots,request_adapter,dispatch_path,poll_path,pricing_basis,source_urls,difference_summary
"re","re/ai-essay-writer","ai-essay-writer","text.generate","re-task","","0","0","","documented","academic_level,humanized,input,length,model_version,type","","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/ai-essay-writer",""
"re","re/ai-text-detector","ai-text-detector","text.generate","re-task","","0","0","","documented","text","","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/ai-text-detector",""
"re","re/doubao-seedance-2.0","doubao-seedance-2.0","video.generate","re-task","","0","0","","documented","duration,fallback,generate_audio,nsfw_checker,prompt,resolution,return_last_frame,size,tools","audio,image,video","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedance-2-0",""
"re","re/doubao-seedance-2.0-face","doubao-seedance-2.0-face","video.generate","re-task","","0","0","","documented","duration,fallback,generate_audio,nsfw_checker,prompt,resolution,return_last_frame,size,tools","audio,image,video","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedance-2-0",""
"re","re/doubao-seedance-2.0-fast","doubao-seedance-2.0-fast","video.generate","re-task","","0","0","","documented","duration,fallback,generate_audio,nsfw_checker,prompt,resolution,return_last_frame,size,tools","audio,image,video","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedance-2-0",""
"re","re/doubao-seedance-2.0-fast-face","doubao-seedance-2.0-fast-face","video.generate","re-task","","0","0","","documented","duration,fallback,generate_audio,nsfw_checker,prompt,resolution,return_last_frame,size,tools","audio,image,video","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedance-2-0",""
"re","re/doubao-seedance-2.0-fast-official","doubao-seedance-2.0-fast-official","video.generate","re-task","","0","0","","documented","duration,fallback,generate_audio,prompt,resolution,return_last_frame,size,tools","audio,image,video","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedance-2-0",""
"re","re/doubao-seedance-2.0-official","doubao-seedance-2.0-official","video.generate","re-task","","0","0","","documented","duration,fallback,generate_audio,prompt,resolution,return_last_frame,size,tools","audio,image,video","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedance-2-0",""
"re","re/doubao-seedream-5-0-lite","doubao-seedream-5-0-lite","image.generate","re-task","","0","0","","documented","n,output_format,prompt,resolution,sequential_image_generation,sequential_image_generation_options,size,watermark","image","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedream-5-0-lite",""
"re","re/doubao-seedream-5-0-pro","doubao-seedream-5-0-pro","image.generate","re-task","","0","0","","documented","aspect_ratio,nsfw_checker,output_format,prompt,quality,watermark","image","re-task","/v1/re/generations","/v1/re/tasks/{task_id}","snapshot_sku_max","https://reapi.ai/_next/static/chunks/b94c281bb89d522e.js | https://reapi.ai/models/seedream-5-0-pro",""
