channel,model_name,gateway_model_id,operation,endpoint_type,profile_key,profile_version,contract_version,contract_hash,audit_status,input_fields,material_slots,request_adapter,dispatch_path,poll_path,pricing_basis,source_urls,difference_summary
"nodyhub","__nodyhub_remaining_published_catalog__","* (707 models)","*","protocol-only","","0","0","","missing_documentation","","","","","","","https://nodyhub.com/v1/models | https://nodyhub.com/pricing","Nodyhub 目录计数为 726；权威文档明确列出 19 个模型章节，剩余 707 个模型尚无逐模型合同证据；没有具体模型的输入枚举、默认值、素材数量/MIME/大小、响应字段和价格 SKU 时，不生成模型级合同"
"nodyhub","nodyhub/Doubao-Seedance-2.0","Doubao-Seedance-2.0","video.generate","openai-video","","0","0","","missing_documentation","callback_url,content,duration,execution_expires_after,generate_audio,model,prompt,ratio,resolution,return_last_frame,safety_identifier,seed,service_tier,tools,watermark","audio,image,video","nodyhub-seedance","/v2/videos/generations","/v2/videos/generations/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/Doubao-Seedance-2.0-fast","Doubao-Seedance-2.0-fast","video.generate","openai-video","","0","0","","missing_documentation","callback_url,content,duration,execution_expires_after,generate_audio,model,prompt,ratio,resolution,return_last_frame,safety_identifier,seed,service_tier,tools,watermark","audio,image,video","nodyhub-seedance","/v2/videos/generations","/v2/videos/generations/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/Doubao-Seedance-2.0-mini","Doubao-Seedance-2.0-mini","video.generate","openai-video","","0","0","","missing_documentation","callback_url,content,duration,execution_expires_after,generate_audio,model,prompt,ratio,resolution,return_last_frame,safety_identifier,seed,service_tier,tools,watermark","audio,image,video","nodyhub-seedance","/v2/videos/generations","/v2/videos/generations/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gemini-3.1-flash-image-preview","gemini-3.1-flash-image-preview","image.generate","image-generation","","0","0","","missing_documentation","aspect_ratio,image,image_size,model,prompt,response_format","image","nodyhub-image","/v1/images/generations?async=true","/v1/images/tasks/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gemini-3.1-flash-image-preview-4k-official","gemini-3.1-flash-image-preview-4k-official","image.generate","image-generation","","0","0","","missing_documentation","aspect_ratio,image,image_size,model,prompt,response_format","image","nodyhub-image","/v1/images/generations?async=true","/v1/images/tasks/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gemini-3.1-flash-image-preview-official","gemini-3.1-flash-image-preview-official","image.generate","image-generation","","0","0","","missing_documentation","aspect_ratio,image,image_size,model,prompt,response_format","image","nodyhub-image","/v1/images/generations?async=true","/v1/images/tasks/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gemini-3.1-flash-lite-image","gemini-3.1-flash-lite-image","image.generate","image-generation","","0","0","","missing_documentation","aspect_ratio,image,image_size,model,prompt,response_format","image","nodyhub-image","/v1/images/generations?async=true","/v1/images/tasks/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gemini-3.1-pro-preview","gemini-3.1-pro-preview","text.chat","openai","","0","0","","missing_documentation","max_tokens,messages,model,reasoning_effort,response_format,stream,temperature,tool_choice,tools","","openai-chat","/v1/chat/completions","","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gpt-5.5","gpt-5.5","text.chat","openai","","0","0","","missing_documentation","max_tokens,messages,model,reasoning_effort,response_format,stream,temperature,tool_choice,tools","","openai-chat","/v1/chat/completions","","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gpt-image-2","gpt-image-2","image.generate","image-generation","","0","0","","missing_documentation","image_urls,model,moderation,n,prompt,quality,resolution,response_format,size","image","nodyhub-image","/v1/images/generations?async=true","/v1/images/tasks/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/gpt-image-2-official","gpt-image-2-official","image.generate","image-generation","","0","0","","missing_documentation","image_urls,model,moderation,n,prompt,quality,resolution,response_format,size","image","nodyhub-image","/v1/images/generations?async=true","/v1/images/tasks/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/grok-imagine-1.5-video","grok-imagine-1.5-video","video.generate","openai-video","","0","0","","missing_documentation","duration,image_urls,model,prompt,quality,size","image","nodyhub-video","/v2/videos/generations","/v2/videos/generations/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/grok-imagine-video-official","grok-imagine-video-official","video.generate","openai-video","","0","0","","missing_documentation","aspect_ratio,duration,image,model,prompt,reference_images,resolution","image","nodyhub-video","/v2/videos/generations","/v2/videos/generations/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
"nodyhub","nodyhub/grok-video-3","grok-video-3","video.generate","openai-video","","0","0","","missing_documentation","duration,images,model,prompt,ratio,resolution","image","nodyhub-video","/v2/videos/generations","/v2/videos/generations/{taskId}","","https://nodyhub.com/pricing | https://nodyhub.com/v1/models","Nodyhub 权威文档已列出该模型的请求字段和协议端点，但价格页 SKU 尚未程序化导出；文档未为所有字段提供可机器校验的完整枚举、默认值、响应 schema 和版本号，发布前仍需逐字段复核"
